epoch,train_loss,val_loss,learning_rate,val_dist_acc,val_dist_prec,val_dist_rec,val_dist_f1,val_dist_macro_f1,val_dist_auc,val_sim_acc,val_sim_prec,val_sim_rec,val_sim_f1,val_sim_macro_f1,val_sim_auc,val_sim_threshold,val_dist_threshold
1,0.5074788882895624,0.16235803682708516,0.0002714099896151749,0.840047393364929,0.9370021723388848,0.8761002031144212,0.9055283414975507,0.6921464101310147,0.857186977573986,0.8936611374407583,0.9168005139736588,0.96614759647935,0.940827427064447,0.7083699179117855,0.8571865764791575,0.5,0.5
2,0.4188093355396971,0.1089013924224759,0.00023824686460365843,0.8936611374407583,0.9602695991486343,0.9163845633039945,0.9378139615451239,0.785556623264901,0.9099999358248274,0.9259478672985783,0.9322250639386189,0.987136086662153,0.9588951002959553,0.7928803859688731,0.9100015402041413,0.5,0.5
3,0.3980191401920873,0.11347920765643413,0.00019644552163267608,0.8829976303317536,0.9500527611677805,0.9143534190927556,0.9318613075728825,0.7591243710639282,0.8937772543935927,0.919431279620853,0.9240986717267552,0.989167230873392,0.9555264879005886,0.7639267659628729,0.8937808642470488,0.5,0.5
4,0.38529139052288164,0.12625450626859125,0.00015009776739930978,0.8723341232227488,0.9595628415300547,0.8916723087339201,0.9243726969643797,0.757532977162152,0.9101186598940467,0.9161729857819905,0.9368662087013412,0.969532836831415,0.9529196473132591,0.7855016590142543,0.9101182587992185,0.5,0.5
5,0.3771625091302444,0.07919286824059936,0.00010374044301171347,0.9306872037914692,0.9644808743169399,0.955991875423155,0.9602176130567834,0.845626047907702,0.9427814161535326,0.9383886255924171,0.9397821909032671,0.99322951929587,0.9657669519420672,0.8290373221248797,0.9427806139638758,0.5,0.5
6,0.36490045710470664,0.09078134756254137,6.191132637141641e-05,0.9170616113744076,0.9655292479108635,0.9387271496276236,0.9519395811877789,0.8247818856262868,0.935495929689681,0.9383886255924171,0.9414790996784566,0.991198375084631,0.9656992084432717,0.8316868135239615,0.9354967318793379,0.5,0.5
7,0.3561372999024589,0.06978108059122877,2.8704942855763592e-05,0.9440165876777251,0.966903073286052,0.9691943127962085,0.9680473372781065,0.8711204428326016,0.956412222803364,0.9419431279620853,0.9428387925497752,0.993906567366283,0.967699406723797,0.8405748495607288,0.956412222803364,0.5,0.5
8,0.3540426598112118,0.07088188436058052,7.371764645745481e-06,0.9407582938388626,0.9677309782608695,0.9644549763033176,0.9660902000678196,0.8659490812985469,0.9486205546660162,0.9437203791469194,0.9438021836865768,0.9949221394719026,0.9686882003955175,0.8454552113088698,0.9486213568556732,0.5,0.5
9,0.3525289701166489,0.0673028599505998,3.186155128065415e-11,0.9466824644549763,0.9663752521856086,0.97291807718348,0.9696356275303644,0.8755945127943083,0.9539302480049542,0.9428317535545023,0.9431781701444623,0.994583615436696,0.9681990443236118,0.8428110887796683,0.9539298469101258,0.5,0.5
10,0.38221256496747996,0.15773405222538509,0.00029816089031776055,0.841824644549763,0.9569486404833837,0.8578199052132701,0.9046769011067476,0.7201645375098955,0.8969475079176119,0.9066943127962085,0.9420435510887772,0.9519295870006771,0.946960767806028,0.7797534466336413,0.8969475079176118,0.5,0.5
11,0.3732983437811191,0.10530421891653875,0.00029267357576348227,0.8912914691943128,0.9634539591544249,0.9102911306702776,0.936118363794604,0.7858347529002812,0.9285489672610356,0.9277251184834123,0.9373789541639768,0.983073798239675,0.9596827495042961,0.8055556604664338,0.9285485661662073,0.5,0.5
12,0.37148658368597387,0.08736010217371415,0.0002836731642674564,0.9200236966824644,0.9621212121212122,0.94583615436696,0.9539091840218504,0.8259478806015292,0.9278390294146904,0.9342417061611374,0.9372599231754162,0.991198375084631,0.9634748272458046,0.817048986323199,0.9278386283198619,0.5,0.5
13,0.36642131042431003,0.10531956055816614,0.0002713812758313682,0.8972156398104265,0.9546564352982211,0.9265402843601895,0.9403882494416766,0.7838353706929113,0.9110844962409393,0.9262440758293838,0.9350273399807012,0.9840893703452945,0.9589312221672439,0.7987689492548846,0.9110828918616255,0.5,0.5
14,0.35687931852716626,0.09567642643309708,0.00025610057754295323,0.9052132701421801,0.9588850174216028,0.9316181448882871,0.945054945054945,0.8001136794240242,0.9337503649962939,0.933649289099526,0.9397551546391752,0.9874746106973595,0.9630241003631561,0.8201287648789843,0.9337511671859509,0.5,0.5
